date,category,title,amount
2021-07-30,,Pagamento recebido,-1794.75
2021-07-30,serviços,Google Niantic Inc,1.9
2021-08-02,eletrônicos,Amazon.Com.Br,29.9
2021-08-04,serviços,Picpay*Ef6*Recargacel,15
2021-08-09,outros,Crunchyroll *Anime,27.2
2021-08-09,serviços,Picpay *Ef6 teste,30
2021-08-09,,IOF de Crunchyroll *Anime,1.74
2021-08-10,eletrônicos,Amazon.Com.Br,154.51
2021-08-10,eletrônicos,Amazon.Com.Br,14.95
2021-08-11,serviços,Picpay*Zc8*Recargacel,10
2021-08-11,serviços,Picpay*Zc8*Recargacel,20
2021-08-12,casa,Campina Serv 1/5,1000
2021-08-16,serviços,Picpay*Zc8*Recargacel,15
2021-08-16,serviços,Google Niantic Inc,1.9
2021-08-17,serviços,Netflix.Com,45.9
2021-08-23,educação,Amazon.Com.Br Digital,19.9
2021-08-23,eletrônicos,Amazon.Com.Br 1/8,32.51
2021-08-25,serviços,Google Youtubepremium,20.9
2021-08-26,serviços,Picpay*Zc8*teste,25
2021-08-27,serviços,Google Niantic Inc,1.9
